LATITUDE,LONGITUDE
-18.91,117.6615231
-18.81,117.6902707
-18.71,117.7190183
-18.61,117.7767753
-18.51,117.8334864
-18.41,117.8945424
-18.31,117.9549093
-18.21,118.0158947
-18.11,118.0746374
-18.01,118.1681341
-17.91,118.2595976
-17.81,118.3464983
-17.71,118.4065783
-17.61,118.4676082
-17.51,118.529735
-17.41,118.5835273
-17.31,118.6388045
-17.21,118.6954199
-17.11,118.7527199
-17.01,118.8101127
-16.91,118.8672512
-16.81,118.9241783
-16.71,118.9807523
-16.61,119.0376294
-16.51,119.0948848
-16.41,119.1524491
-16.31,119.2099433
-16.21,119.2674069
-16.11,119.3245765
-16.01,119.3808782
-15.91,119.4362416
-15.81,119.4909303
-15.71,119.5455881
-15.61,119.6003442
-15.51,119.655502
-15.41,119.7118729
-15.31,119.7702016
-15.21,119.8302316
-15.11,119.8911514
-15.01,119.9520646
-14.91,120.0128446
-14.81,120.0737677
-14.71,120.1347548
-14.61,120.1958025
-14.51,120.2567615
-14.41,120.317764
-14.31,120.3788937
-14.21,120.4396923
-14.11,120.4999259
-14.01,120.5597424
-13.91,120.6196376
-13.81,120.6798454
-13.71,120.7402179
-13.61,120.8005903
-13.51,120.8611045
-13.41,120.9217444
-13.31,120.9817347
-13.21,121.0396029
-13.11,121.0958998
-13.01,121.1514008
-12.91,121.2074148
-12.81,121.2633106
-12.71,121.3190786
-12.61,121.3773724
-12.51,121.4353447
-12.41,121.4932511
-12.31,121.5488574
-12.21,121.6046916
-12.11,121.6605075
-12.01,121.7159076
-11.91,121.7686649
-11.81,121.8199535
-11.71,121.869506
-11.61,121.9200477
-11.51,121.9704048
-11.41,122.0208445
-11.31,122.0715675
-11.21,122.1229983
-11.11,122.1765388
-11.01,122.2335216
-10.91,122.2936064
-10.81,122.3548061
-10.71,122.4152269
-10.61,122.474675
-10.51,122.5336835
-10.41,122.592478
-10.31,122.6511105
-10.21,122.7096543
-10.11,122.7685611
-10.01,122.8279669
-9.91,122.8881374
-9.81,122.948632
-9.71,123.0085281
-9.61,123.0673542
-9.51,123.1250813
-9.41,123.1825535
-9.31,123.240017
-9.21,123.2965051
-9.11,123.3517554
-9.01,123.4065008
-8.91,123.4632026
-8.81,123.520677
-8.71,123.5780261
-8.61,123.6345289
-8.51,123.6936914
-8.41,123.7575918
-8.31,123.8265986
-8.21,123.8956617
-8.11,123.9584629
-8.01,124.0106012
-7.91,124.0549653
-7.81,124.0958984
-7.71,124.1367301
-7.61,124.1766526
-7.51,124.2155647
-7.41,124.2536696
-7.31,124.2920992
-7.21,124.3315384
-7.11,124.3716891
-7.01,124.4123286
-6.91,124.4528731
-6.81,124.4931898
-6.71,124.5328462
-6.61,124.5715077
-6.51,124.6092589
-6.41,124.6467095
-6.31,124.6842257
-6.21,124.721351
-6.11,124.7578413
-6.01,124.7936648
-5.91,124.8292856
-5.81,124.864642
-5.71,124.8992991
-5.61,124.9329353
-5.51,124.9662533
-5.41,124.9997342
-5.31,125.0338356
-5.21,125.0685532
-5.11,125.1038531
-5.01,125.1397143
-4.91,125.1755352
-4.81,125.2118614
-4.71,125.2487007
-4.61,125.2860846
-4.51,125.323455
-4.41,125.3605383
-4.31,125.3955002
-4.21,125.4282973
-4.11,125.4590807
-4.01,125.4895122
-3.91,125.5196259
-3.81,125.5495694
-3.71,125.5795324
-3.61,125.6096923
-3.51,125.6415153
-3.41,125.6840565
-3.31,125.730332
-3.21,125.7796777
-3.11,125.8247784
-3.01,125.8734209
-2.91,125.9247913
-2.81,125.9771327
-2.71,126.0296708
-2.61,126.0832204
-2.51,126.1359429
-2.41,126.1860812
-2.31,126.2317284
-2.21,126.2739578
-2.11,126.3135828
-2.01,126.3493716
-1.91,126.3818311
-1.81,126.4117082
-1.71,126.4413271
-1.61,126.470946
-1.51,126.5005648
-1.41,126.5292907
-1.31,126.5560328
-1.21,126.5806809
-1.11,126.6038082
-1.01,126.6255616
-0.91,126.6460513
-0.81,126.6647371
-0.71,126.6826028
-0.61,126.6996448
-0.51,126.7169295
-0.41,126.7344167
-0.31,126.7524157
-0.21,126.7707542
-0.11,126.7894323
-0.01,126.8093562
0.09,126.8309106
0.19,126.8540953
0.29,126.8783674
0.39,126.9035934
0.49,126.9294519
0.59,126.9555714
0.69,126.9821117
0.79,127.0094676
0.89,127.0380029
0.99,127.067273
1.09,127.0972155
1.19,127.1272531
1.29,127.157783
1.39,127.1888241
1.49,127.2202926
1.59,127.2515502
1.69,127.2822059
1.79,127.3122596
1.89,127.341952
1.99,127.3716651
2.09,127.4020042
2.19,127.4330028
2.29,127.464687
2.39,127.4964939
2.49,127.5287894
2.59,127.5615265
2.69,127.5944847
2.79,127.626902
2.89,127.6588422
2.99,127.6903016
3.09,127.7215122
3.19,127.7523701
3.29,127.7828267
3.39,127.8130126
3.49,127.8431825
3.59,127.8736454
3.69,127.9039581
3.79,127.9338906
3.89,127.9633719
5.49,128.4022543
5.59,128.4286217
5.69,128.4546128
5.79,128.4802788
5.89,128.5055163
5.99,128.5307015
6.09,128.5555405
6.19,128.5800789
6.29,128.6040253
6.39,128.6273014
6.49,128.6503863
6.59,128.6733464
6.69,128.6959564
6.79,128.7178596
6.89,128.7398932
6.99,128.762444
7.09,128.78518
7.19,128.8075721
7.29,128.8297447
7.39,128.8521802
7.49,128.8748943
7.59,128.897807
7.69,128.9205784
7.79,128.9432095
7.89,128.9657539
7.99,128.9873674
8.09,129.0083828
8.19,129.0287953
8.29,129.0494934
8.39,129.0700836
8.49,129.0906882
8.59,129.1113794
8.69,129.1322778
8.79,129.1533575
8.89,129.1745901
8.99,129.1959097
9.09,129.2174248
9.19,129.2391212
9.29,129.2617346
9.39,129.2851854
9.49,129.3093868
9.59,129.3336075
9.69,129.357671
9.79,129.3815943
9.89,129.4053774
9.99,129.4291953
10.09,129.4531537
10.19,129.4774328
10.29,129.5023889
10.39,129.5280006
10.49,129.5537285
10.59,129.5790203
10.69,129.6038759
10.79,129.6283397
10.89,129.6517997
10.99,129.6743463
11.09,129.6962943
11.19,129.7181957
11.29,129.7404307
11.39,129.7627128
11.49,129.7851791
11.59,129.8075442
11.69,129.8299146
11.79,129.8519419
11.89,129.8734411
11.99,129.8942238
12.09,129.9138336
12.19,129.9322704
12.29,129.9499024
12.39,129.9675911
12.49,129.9855198
12.59,130.0044866
12.69,130.0249288
12.79,130.0466631
12.89,130.0688913
12.99,130.0911195
13.09,130.1129626
13.19,130.1336789
13.29,130.1533927
13.39,130.1724981
13.49,130.1917366
13.59,130.2109842
13.69,130.2303538
13.79,130.2500777
13.89,130.270488
13.99,130.2920831
14.09,130.3145358
14.19,130.337514
14.29,130.3603973
14.39,130.3830011
14.49,130.405188
14.59,130.4272066
14.69,130.4493721
14.79,130.4718933
14.89,130.4941178
14.99,130.5157466
15.09,130.5367083
15.19,130.557399
15.29,130.5780119
15.39,130.5983713
15.49,130.6182213
15.59,130.6378822
15.69,130.658937
15.79,130.6819856
15.89,130.7067776
15.99,130.7316439
16.09,130.7560605
16.19,130.7801381
16.29,130.8041558
16.39,130.8280859
16.49,130.8517767
16.59,130.8750951
16.69,130.8984784
16.79,130.9219174
16.89,130.9455282
16.99,130.9690469
17.09,130.9925191
17.19,131.0155898
17.29,131.0384293
17.39,131.061043
17.49,131.0839685
17.59,131.1070771
17.69,131.130331
17.79,131.1535225
17.89,131.1765367
17.99,131.1993205
18.09,131.2220407
18.19,131.2447768
18.29,131.2675778
18.39,131.290302
18.49,131.3134025
18.59,131.337175
18.69,131.3613856
18.79,131.3858279
18.89,131.4094523
18.99,131.4345878
19.09,131.4591305
19.19,131.4838763
19.29,131.4494166
19.39,131.4139707
19.49,131.3457608
19.59,131.3936744
19.69,131.4417764
19.79,131.5116145
19.89,131.5218448
